,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Arunachal Pradesh,Changlang,Bordumsa-Diyun,Haripur,409019,"Rice Mill, Haripur III",Diyun,19-Dec-20,Agro ,Agro Industry,27.54144722,96.13977128
2,Arunachal Pradesh,Changlang,Bordumsa-Diyun,Haripur,409019,"Rice Mill, Haripur II","Haripur  II, Diyun",19-Dec-20,Agro ,Agro Industry,27.54659078,96.12644544
3,Arunachal Pradesh,Changlang,Bordumsa-Diyun,Haripur,409019,"Rice Mill 2, Haripur II","Haripur II, Diyun",19-Dec-20,Agro ,Agro Industry,27.54707824,96.12492197
4,Arunachal Pradesh,Lower Dibang Valley,Roing,Haru Pahar T.E.,414518,APMC Centre Harupahar,Horu Pahar,20-Aug-20,Agro ,Collection Centre or Pack House,28.024935,95.861185
5,Arunachal Pradesh,Lower Dibang Valley,Roing,Haru Pahar T.E.,414518,Ramdevra Tea Factory Harupahar,Haru Pahar,20-Aug-20,Agro ,Agro Industry,28.026615,95.86187667
6,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,Office of the Zilla Parishad Chairperson,"Hawai
Anjaw Dist
Arunachal Pradesh",27-Nov-20,Transport/Admin,Panchayat Headquarter,27.88533667,96.81944167
7,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,State Bank of India Hawai Branch,"Hawai
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Transport/Admin,Bank,27.88328333,96.82146667
8,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,Jawahar Navodaya Vidyalaya Hawai,"Hawai
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Education ,High School - General,27.88731667,96.799975
9,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,Fuel Pump Hawai,"Hawai
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Transport/Admin,Fuel Station,27.88836333,96.79908167
10,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,Community Health Centre Hawai,"Hawai
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Medical ,Community Health Centre,27.88796667,96.79954833
11,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,Govt Higher Secondary School Hawai,"Hawai
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Education ,Higher Secondary School,27.88885,96.799315
12,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,Kasturba Gandhi Balika Vidyalaya Hawai,"Hawai
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Education ,High School - Girls,27.8866,96.79855
13,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,DC cum cum Block HQ Office,"Hawai 
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Transport/Admin,Block Headquarter,27.88601333,96.81930667
14,Arunachal Pradesh,Anjaw,Hawai-Walong,Hawai H.Q.,418092,FC I Center Hawai,"Hawai
Anjaw Dist
Arunachal Pradseh",27-Nov-20,Agro ,Collection Centre or Pack House,27.91119333,96.78414667
15,Arunachal Pradesh,West Kameng,Nafra,Jerigaon,460527,Rurban Village Jerigaon,Jerigaon Nafra West kameng District   AP,03-Aug-20,Agro ,Is Part of Rurban Cluster?,27.34027238,92.47246555
16,Arunachal Pradesh,Upper Subansiri,Baririjo,Ronya,925333,Orange Collection centre at Ronya,Ronya Baririjo Block  Upper Subansiri District AP,12-Feb-21,Agro ,Collection Centre or Pack House,27.94819719,94.3264238
17,Arunachal Pradesh,Lower Dibang Valley,Roing,Asenga,927873,Rice and Mustard Processing Unit Asenga,Asenga,12-Nov-20,Agro ,Agro Industry,27.96197999,95.85311812
18,Arunachal Pradesh,Lower Dibang Valley,Roing,Asenga,927873,APMC Market Asenga,Asenga,12-Nov-20,Agro ,Mandi (Notified),27.96295981,95.85392935
19,Arunachal Pradesh,Lower Dibang Valley,Roing,Asenga,927873,Maize Mustard Collection Centre Asenga,Asenga,16-Dec-20,Agro ,Collection Centre or Pack House,27.97513,95.837235
20,Arunachal Pradesh,Lower Dibang Valley,Roing,Asenga,927873,Rice Processing unit Asenga,Asenga,16-Dec-20,Agro ,Agro Industry,27.96475667,95.85569833
21,Arunachal Pradesh,Lower Dibang Valley,Roing,Asenga,927873,Rice Processing Unit and Agro Collection Centre Asenga,Asenga,12-Nov-20,Agro ,Agro Industry,27.96390562,95.85495898
22,Arunachal Pradesh,Lower Dibang Valley,Roing,Injunu,434103,Rice Collection Centre Injono,Injunu,16-Dec-20,Agro ,Collection Centre or Pack House,28.06934833,95.91595333
23,Arunachal Pradesh,Lower Dibang Valley,Roing,Injunu,434103,Mustard Collection Centre Anuboli,Injunu,16-Dec-20,Agro ,Collection Centre or Pack House,28.07028667,95.91666667
24,Arunachal Pradesh,Lower Dibang Valley,Roing,Injunu,434103,Kutu Collection Centre Injuno,Injunu,16-Dec-20,Agro ,Warehouse,28.06927333,95.916005
25,Arunachal Pradesh,Lower Dibang Valley,Roing,Injunu,434103,Maize Godown Injuno,Injunu,16-Dec-20,Agro ,Warehouse,28.07020167,95.91658333
26,Arunachal Pradesh,Lower Dibang Valley,Roing,Injunu,434103,Ginger Collection Centre injuno,Injunu,16-Dec-20,Agro ,Collection Centre or Pack House,28.06922333,95.91593833
27,Arunachal Pradesh,Papum Pare,Doimukh,Jalang,445852,Monday Market Jully Village,Jully Village Dist Papum Pare Arunachal Pradesh,01-Jun-20,Agro ,Mandi (Notified),27.07545356,93.64086253
28,Arunachal Pradesh,Papum Pare,Doimukh,Jalang,445852,Himalayan University Jully Village,Jully Village Dist Papum Pare Arunachal Pradesh,01-Jun-20,Education ,Degree College,27.07456062,93.65228058
29,Arunachal Pradesh,Papum Pare,Doimukh,Jalang,445852,Govt Middle School Jollang,Jollang Village Dist Papum Pare Arunachal Pradesh,01-Jun-20,Education ,High School - General,27.07449102,93.63738312
30,Arunachal Pradesh,Papum Pare,Doimukh,Jalang,445852,Don Bosco College Itanagar Jollang Village,Jollang Village Dist Papum Pare Arunachal Pradesh,01-Jun-20,Education ,Degree College,27.07755651,93.63433158
31,Arunachal Pradesh,Lohit,Tezu,Jeko,460194,Govt Higher Secondary School Jeko,"Jeko Po Sunpura Lohit Dist
Arunachal Pradesh",30-Oct-20,Education ,Higher Secondary School,27.84299667,95.893065
32,Arunachal Pradesh,West Kameng,Nafra,Rurang,929027,Rurban Village Rurang,Rurang Nafra West kameng District   AP,03-Aug-20,Agro ,Is Part of Rurban Cluster?,27.35597775,92.48889504
33,Arunachal Pradesh,Papum Pare,Sagalee,Sagalee H.Q.,933190,Bus Stand Sagalee,Sagalee Papum Pare District Arunachal Pradesh,09-Jun-20,Transport/Admin,Bus Stand,27.247503,93.4919791
