,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Chhattisgarh,Raigarh,Gharghoda,Jhariyapali,463490,panchayat bhavan ,jhariyapali,27-Sep-19,Transport/Admin,Panchayat Headquarter,22.15290125,83.37126217
2,Chhattisgarh,Raigarh,Tamnar,Jhikabahal,464208,panchayat  bhavan,Jhikabahal ,09-Sep-19,Transport/Admin,Panchayat Headquarter,22.11000785,83.50011789
3,Chhattisgarh,Raigarh,Tamnar,Jhikabahal,464208,GRaM,jhikabahal ,02-Oct-19,Agro ,GRaM (Notified),22.11152737,83.50171088
4,Chhattisgarh,Raigarh,Tamnar,Jhikabahal,464208,Fortis OP jindal hospital ,jhikabahal ,02-Oct-19,Medical ,Bedded Hospital,22.11090434,83.5029483
5,Chhattisgarh,Raigarh,Tamnar,Jhikabahal,464208,fuel pump ,jhikabahal,02-Oct-19,Transport/Admin,Fuel Station,22.11169425,83.50135398
6,Chhattisgarh,Kawardha,Pandariya,JHIRIYAKALA,464794,panchayat headquarter,jhiriyakala,01-Sep-19,Transport/Admin,Panchayat Headquarter,22.25678333,81.464
7,Chhattisgarh,Kawardha,Pandariya,JHIRIYAKALA,464794,High school,jhiriyakala,01-Sep-19,Education ,High School - General,22.25674667,81.46390167
8,Chhattisgarh,Mahasamund,Mahasamund,Jogidipa,468795,Gram Panchayat,Jogideepa,24-Aug-19,Transport/Admin,Panchayat Headquarter,21.22316797,82.25931906
9,Chhattisgarh,Jashpur,Pathalgaon,JORADOL,470592,panchayat head quater,jiradol,23-Aug-19,Transport/Admin,Panchayat Headquarter,22.56837453,83.41015175
10,Chhattisgarh,Jashpur,Pathalgaon,JORADOL,470592,Sub health centre,joradol,24-Aug-19,Medical ,Primary Health Centre,22.56849289,83.41023624
