,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Haryana,Bhiwani,Kairu,Devrala,265309,veterinary hospital,devralla,04-Sep-19,Medical ,Veterinary Hospital,28.68499909,75.8084643
2,Haryana,Bhiwani,Kairu,Devrala,265309,sarv haryana gramin bank,devralla,04-Sep-19,Transport/Admin,Bank,28.6843318,75.81218335
3,Haryana,Bhiwani,Kairu,Devrala,265309,government senior secondary school,devralla,04-Sep-19,Education ,Higher Secondary School,28.68474472,75.80859612
4,Haryana,Bhiwani,Kairu,Devrala,265309,government iti ,devralla,04-Sep-19,Education ,ITI,28.68139499,75.79913403
5,Haryana,Bhiwani,Kairu,Devrala,265309,govt sr sec school,vill Deverala,22-Nov-19,Education ,Higher Secondary School,28.68598519,75.80839377
6,Haryana,Bhiwani,Kairu,Devrala,265309,govt high school ,vill devrala,22-Nov-19,Education ,High School - Girls,28.68474044,75.80849484
7,Haryana,Bhiwani,Kairu,Devrala,265309,DEV PUBLIC SCHOOL ,vill DEVRALA,22-Nov-19,Education ,Higher Secondary School,28.68704284,75.8071357
8,Haryana,Bhiwani,Kairu,Devrala,265309,fuel pump,devralla,04-Sep-19,Transport/Admin,Fuel Station,28.68066386,75.79709548
9,Haryana,Bhiwani,Kairu,Devrala,265309,jawahar Navodaya Vidyalay,Devralla,04-Sep-19,Education ,Higher Secondary School,28.67163956,75.80943307
10,Haryana,Bhiwani,Kairu,Devrala,265309,government girls high school,devralla,04-Sep-19,Education ,High School - Girls,28.68470175,75.80837876
11,Haryana,Bhiwani,Kairu,Devrala,265309,civil hospital,devralla,04-Sep-19,Medical ,Bedded Hospital,28.68517835,75.80835765
12,Haryana,Bhiwani,Kairu,Devrala,265309,Panchayat Headquarters Building,Devrala,10-Sep-19,Transport/Admin,Panchayat Headquarter,28.6857189,75.80716863
13,Haryana,Bhiwani,Kairu,Devrala,265309,High school,Devrala,10-Sep-19,Education ,High School - General,28.68961742,75.81504283
14,Haryana,Bhiwani,Siwani,Devsar,265441,gram sachivalaya,Devsar,11-Sep-19,Transport/Admin,Panchayat Headquarter,28.8911996,75.54644393
15,Haryana,Sirsa,Baragudha,Dhaban,267030,Warehouse,Biruwala Gudha road,27-Aug-19,Agro ,Warehouse,29.67863298,75.03784872
16,Haryana,Sirsa,Baragudha,Dhaban,267030,Veterinary hospital ,Near water works,27-Aug-19,Medical ,Veterinary Hospital,29.67581146,75.0396983
17,Haryana,Sirsa,Baragudha,Dhaban,267030,Fuel station ,Near choraha,27-Aug-19,Transport/Admin,Fuel Station,29.67016599,75.03300989
18,Haryana,Sirsa,Baragudha,Dhaban,267030,Panchayat hq,Near mandir,14-Sep-19,Transport/Admin,Panchayat Headquarter,29.67470882,75.03568812
19,Haryana,Fatehabad,Bhattu Kalan,Dhabi Khurd,267128,PANCHAYAT GHAR,DHABI KHURD,09-Sep-19,Transport/Admin,Panchayat Headquarter,29.32137607,75.27628175
20,Haryana,Fatehabad,Bhattu Kalan,Dhabi Khurd,267128,BHARAT PETROLIUM,BHATTU ROAD,09-Sep-19,Transport/Admin,Fuel Station,29.32492493,75.2801324
21,Haryana,Yamuna Nagar,Chhachhrauli,Dhakwala,268485,gram sachivalya,dhakwala,27-Aug-19,Transport/Admin,Panchayat Headquarter,30.33420782,77.42852626
22,Haryana,Bhiwani,Bhiwani,Dhana Ladanpur,269870,high school general,dhana ladanpur,08-Sep-19,Education ,High School - General,28.75640932,76.16167316
23,Haryana,Bhiwani,Bhiwani,Dhana Ladanpur,269870,veterinary hoapital,Shana ladanpur,08-Sep-19,Medical ,Veterinary Hospital,28.75505018,76.1590724
24,Haryana,Bhiwani,Bawani Khera,Dhanana,270153,mata foolam de senior secondary school,dhanana,06-Sep-19,Education ,Higher Secondary School,28.93344133,76.15537006
25,Haryana,Sirsa,Dabwali,Dewan Khera,265934,panchayat headquarter,dewankhera,02-Sep-19,Transport/Admin,Panchayat Headquarter,29.88451058,74.76346863
26,Haryana,Sirsa,Dabwali,Dewan Khera,265934,panchayat ghar,deewankhera,17-Sep-19,Transport/Admin,Panchayat Headquarter,29.88459349,74.76370096
27,Haryana,Jhajjar,Bahadurgarh,Dever Khana,266269,Govt High School,Dewerkhana,04-Sep-19,Education ,High School - General,28.53143005,76.83553845
28,Haryana,Jhajjar,Bahadurgarh,Dever Khana,266269,Cooperative Bank,Dewerkhana,04-Sep-19,Transport/Admin,Bank,28.53145937,76.8351241
29,Haryana,Jhajjar,Bahadurgarh,Dever Khana,266269,water works ,deverkhana,05-Nov-19,Agro ,Is Part of Rurban Cluster?,28.53405607,76.83406902
30,Haryana,Faridabad,Faridabad,Dhahkola,268341,Government high school,village dhakola district faridabad ,13-Sep-19,Education ,High School - General,28.37979334,77.42767883
31,Haryana,Faridabad,Faridabad,Dhahkola,268341,Proposed vemshala community centre marriage hall modern anganbadi centre veterinary hospital roads solar street lights high mass lights ro system,village dhakola district faridabad ,02-Nov-19,Agro ,Is Part of Rurban Cluster?,28.3815364,77.42471156
32,Haryana,Hisar,Hansi I,Dhamian,269309,hospital,vetnery hospital,10-Sep-19,Medical ,Veterinary Hospital,29.00676442,75.82201985
33,Haryana,Hisar,Hansi I,Dhana,269864,sarv haryana gramin bank,dhana kalan ,11-Sep-19,Transport/Admin,Bank,29.08521658,76.02188579
34,Haryana,Hisar,Hansi I,Dhana,269864,panchayat head quarter,dhana kalan,11-Sep-19,Transport/Admin,Panchayat Headquarter,29.08998027,76.02119702
35,Haryana,Hisar,Hansi I,Dhana,269864,government veterinary hospital,dhana kalan,11-Sep-19,Medical ,Veterinary Hospital,29.08453862,76.02184354
36,Haryana,Hisar,Hansi I,Dhana,269864,government senior secondary school ,dhana kalan,11-Sep-19,Education ,Higher Secondary School,29.08677602,76.02183152
37,Haryana,Jhajjar,Beri,Dhandlah,270767,Govt Sr Sec School Dhandlan,Dhandlan,04-Sep-19,Education ,Higher Secondary School,28.7551507,76.62042839
38,Haryana,Fatehabad,Fatehabad,Dhangar,271217,Purchase Centre Dhangar,Village Dhangar,10-Sep-19,Agro ,Mandi (Notified),29.47336833,75.51834
39,Haryana,Fatehabad,Fatehabad,Dhangar,271217,Govt Girls High School Dhangar,Village Dhangar,10-Sep-19,Education ,High School - Girls,29.46442333,75.51727
40,Haryana,Fatehabad,Fatehabad,Dhangar,271217,Govt Veterinary Hospital Dhangar,Village Dhangar,10-Sep-19,Medical ,Veterinary Hospital,29.46597167,75.52231
41,Haryana,Fatehabad,Fatehabad,Dhangar,271217,Panchayat Ghar Dhangar,Village Dhangar,10-Sep-19,Transport/Admin,Panchayat Headquarter,29.464895,75.515555
42,Haryana,Fatehabad,Fatehabad,Dhangar,271217,SBI Dhangar,Village Dhangar,10-Sep-19,Transport/Admin,Bank,29.46337667,75.521395
43,Haryana,Fatehabad,Fatehabad,Dhangar,271217,Govt Sen Secondary School Dhangar,Village Dhangar,10-Sep-19,Education ,Higher Secondary School,29.46389667,75.51716333
44,Haryana,Bhiwani,Loharu,Dhani Ahmed,272168,panchayat bhawan,dhani ahmed,11-Sep-19,Transport/Admin,Panchayat Headquarter,28.51942782,75.74357554
45,Haryana,Bhiwani,Bhiwani,Biran,274876, Panchayat house,Dhani Biran,10-Sep-19,Transport/Admin,Panchayat Headquarter,28.80770413,75.9940294
46,Haryana,Rewari,Rewari,DHANI CHANDPUR,275362,essar petrol pump ,Dhani chandpur ,22-Aug-19,Transport/Admin,Fuel Station,28.1770696,76.61092666
47,Haryana,Rewari,Rewari,DHANI CHANDPUR,275362,indian oil petrol pump ,Dhani Chandpur,22-Aug-19,Transport/Admin,Fuel Station,28.17050606,76.60835266
48,Haryana,Rewari,Rewari,DHANI CHANDPUR,275362,hindustan petroleum ,Dhani chandpur,22-Aug-19,Transport/Admin,Fuel Station,28.17619985,76.61098936
49,Haryana,Hisar,Hansi I,Dhani Kutabpur,280824,panchayat head quarter,dhani kutabpur,11-Sep-19,Transport/Admin,Panchayat Headquarter,29.1192087,75.90699297
50,Haryana,Bhiwani,Tosham,Chhapar Rangra,284304,Panchayat headquarter,Dhani Poonia,08-Sep-19,Transport/Admin,Panchayat Headquarter,28.846209,75.8166813
51,Haryana,Hisar,Hansi I,Dhani Rampura,284953,Govt Senior secondary school Rampura,Rampura,10-Sep-19,Education ,High School - General,29.0854981,76.04259766
52,Haryana,Hisar,Hansi I,Dhani Rampura,284953,veterinary hospital,Dhani Rampura,10-Sep-19,Medical ,Veterinary Hospital,29.093893,75.9587837
53,Haryana,Sirsa,Rania,Dhanoor,287879,Govt senior secondary school,dhanoor,09-Sep-19,Education ,Higher Secondary School,29.52406419,74.91656115
54,Haryana,Sirsa,Rania,Dhanoor,287879,Gram sachivalaya,dhanoor,09-Sep-19,Transport/Admin,Panchayat Headquarter,29.52773236,74.92059913
55,Haryana,Sirsa,Rania,Dhanoor,287879,veternary hospital,dhanoor,09-Sep-19,Medical ,Veterinary Hospital,29.52687337,74.91830346
56,Haryana,Jind,Narwana,Dhanauri,288062,Govt girl sr sec school Danouri,Danouri narwana,13-Aug-19,Education ,High School - Girls,29.77454609,76.17654427
57,Haryana,Jind,Narwana,Dhanauri,288062,higher secondary school Danouri ,Danouri narwana ,13-Aug-19,Education ,Higher Secondary School,29.77385694,76.17701404
58,Haryana,Jind,Narwana,Dhanauri,288062,veterinary Danouri,Danouri narwana ,08-Aug-19,Medical ,Veterinary Hospital,29.77327334,76.17698015
59,Haryana,Jind,Narwana,Dhanauri,288062,primary health center Danouri ,Danouri narwana ,09-Aug-19,Medical ,Primary Health Centre,29.77359153,76.17699467
