,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Himachal Pradesh,Kangra,Rait,Jhikla Dobh,464268,Dobh,VPO Dobh,09-Mar-21,Transport/Admin,Panchayat Headquarter,32.20180916,76.17792666
2,Himachal Pradesh,Hamirpur,Tihra Sujanpur,Jhulwani,465470,Panchayat Head Quarter at Chamiana,"village Jhulwani post office Kanerar
",09-Oct-20,Transport/Admin,Panchayat Headquarter,31.80366691,76.51032675
3,Himachal Pradesh,Bilaspur,Gehrwin,Jhunjnu,465629,HEALTH SUB CENTRE DHOLAG,VILLAGE DHOLAG POST OFFICE KALOL TEHSIL JHANDUTTA ,25-Dec-20,Medical ,Primary Health Centre,31.32383693,76.61505674
4,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,office of Gram Panchayat,vpo Gagret,24-Nov-20,Transport/Admin,Panchayat Headquarter,31.65849937,76.05667177
5,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Kangra co operative bank,vpo Gagret,23-Oct-20,Transport/Admin,Bank,31.65853625,76.06323912
6,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,State Bank of India,vpo Gagret,23-Oct-20,Transport/Admin,Bank,31.65827013,76.06091713
7,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,community health center,vpo Gagret,23-Oct-20,Medical ,Community Health Centre,31.66121045,76.05972917
8,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,SBI DAULATPUR ROAD,vpo Gagret,23-Oct-20,Transport/Admin,Bank,31.66086843,76.0601336
9,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Pindi Indian oil pump,vpo Gagret,23-Oct-20,Transport/Admin,Fuel Station,31.67131382,76.06669483
10,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Agriculture extension officer and Sale center,vpo kaloh,24-Nov-20,Agro ,Collection Centre or Pack House,31.65106978,76.06920823
11,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Punjab National Bank,vpo Gagret,23-Oct-20,Transport/Admin,Bank,31.65887998,76.0628506
12,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Government vetnary hospital,vpo Gagret,24-Oct-20,Medical ,Veterinary Hospital,31.65444777,76.0737941
13,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Government senior secondary school,vpo Gagret,23-Oct-20,Education ,Higher Secondary School,31.65776802,76.0608303
14,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Agriculture seed centre,vpo Gagret,24-Oct-20,Agro ,Warehouse,31.6523559,76.0714321
15,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,hp state civil supply depot fuel station,vpo Gagret,24-Nov-20,Transport/Admin,Fuel Station,31.65556443,76.05202835
16,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,Inter state bus Stand,Gagret,23-Oct-20,Transport/Admin,Bus Stand,31.65779562,76.05966838
17,Himachal Pradesh,Kangra,Nagrota Surian,Jol,469914,Panchayat ghar Jol,Village Jol post office Bhali,28-Nov-20,Transport/Admin,Panchayat Headquarter,32.2082841,76.12524652
18,Himachal Pradesh,Chamba,Chamba,Judera,471945,Primary Health Centre Jadera,Village Post office Jadera Tehsil Distt Chamba,28-Dec-20,Medical ,Primary Health Centre,32.62991833,76.17705
19,Himachal Pradesh,Chamba,Chamba,Judera,471945,The Gulera Sabha Sehkari Samiti Limited Milk Collection centre,Village and Post office Jadera Tehsil and Distt Ch,28-Dec-20,Agro ,Collection Centre or Pack House,32.63029333,76.17710167
20,Himachal Pradesh,Chamba,Chamba,Judera,471945,Parvatiya Gramin Bank,Village and PO Jadera Tehsil and Distt Chamba,01-Jan-21,Transport/Admin,Bank,32.63062333,76.178
21,Himachal Pradesh,Chamba,Chamba,Judera,471945,Govt Senior Secondary School Zadera,Village Redu Post office Jadera Tehsil and District Chamba,30-Dec-20,Education ,Higher Secondary School,32.63332333,76.18090667
22,Himachal Pradesh,Chamba,Chamba,Judera,471945,Government Veterinary DispensarybJadera,Village Mendroh Post office Sillaghrat Tehsil,28-Dec-20,Medical ,Veterinary Hospital,32.631605,76.178555
23,Himachal Pradesh,Shimla,Jubbal and Kothai,Jherag,464110,Gram Panchyat Jharag,Village and post office Juarag,04-Mar-21,Transport/Admin,Panchayat Headquarter,31.15027943,77.71636084
24,Himachal Pradesh,Kangra,Nagrota Bagwan,Jhikli Ambwari,464277,Panchayat Head Quarter Ambari,VPO Ambari ,23-Dec-20,Transport/Admin,Panchayat Headquarter,32.11353387,76.41563258
25,Himachal Pradesh,Kangra,Nagrota Bagwan,Jhikli Ambwari,464277,Indian Oil Cop Petrol Pump Jhikli Ambari,VPO  Jhikli Ambari,23-Dec-20,Transport/Admin,Fuel Station,32.1131363,76.40737694
26,Himachal Pradesh,Kangra,Rait,Jhikli Ansuhi,464278,Ansuhi,VPO Ansuhi,09-Mar-21,Transport/Admin,Panchayat Headquarter,32.18918208,76.25311754
27,Himachal Pradesh,Una,Amb,Duhal Bangwalan,465049,Panchayat Heard Quarter Duhal Bhagwalan,Duhal Bhagwalan,24-Nov-20,Transport/Admin,Panchayat Headquarter,31.78564542,76.10640449
28,Himachal Pradesh,Chamba,Chamba,Jhullada,465450,Government Veterinary Dispensary Jhullada,VPO Jhullra Tehsil and Distt Chamba,02-Jan-21,Medical ,Veterinary Hospital,32.66322667,76.13689333
29,Himachal Pradesh,Chamba,Chamba,Jhullada,465450,Govt High School Bhatka,Vill Bhatka PO Jhullara Tehsil Distt Chamba,02-Jan-21,Education ,High School - General,32.659905,76.121455
30,Himachal Pradesh,Chamba,Chamba,Jhullada,465450,Panchayat Ghar,VPO Jhullara Tehsil and Distt Chamba HP,02-Jan-21,Transport/Admin,Panchayat Headquarter,32.65863167,76.12140667
31,Himachal Pradesh,Hamirpur,Tihra Sujanpur,Jiar,465867,Ayushman Bharat Health Wellness Centre Chauri,"village Jiar post office Chauri
",08-Oct-20,Medical ,Primary Health Centre,31.75275767,76.55686401
32,Himachal Pradesh,Kangra,Kangra,Jogipura,469040,Government High  School Jogipur,VPO Jogipur,31-Dec-20,Education ,High School - General,32.103725,76.28957333
33,Himachal Pradesh,Kangra,Kangra,Jogipura,469040,Gram Pamchayat Jogipur, VPO Jogipur Kangra,31-Dec-20,Transport/Admin,Panchayat Headquarter,32.11312167,76.28102333
34,Himachal Pradesh,Una,Gagret,Kuneran Nichla,481911,Govt Sr. Sec. School,kuneran Teh ghanari,27-Oct-20,Education ,Higher Secondary School,31.72718012,76.04503657
35,Himachal Pradesh,Chamba,Bhattiyat,Kakira Kaswa,484569,SBI Coprative Bank Branch Kakira,Village Post Office Kakira Teh Bhattiyat,05-Jan-21,Transport/Admin,Bank,32.45698333,75.93384667
36,Himachal Pradesh,Chamba,Bhattiyat,Kakira Kaswa,484569,Govt High School Kakira,Village Post Office Kakiara Teh Bhattiyat,05-Jan-21,Education ,High School - General,32.45498833,75.93587333
37,Himachal Pradesh,Chamba,Bhattiyat,Kakira Kaswa,484569,Panchayat Head Quarter Kakira,Village Post Office Kakira Teh Bhattiyat,05-Jan-21,Transport/Admin,Panchayat Headquarter,32.45908667,75.93561333
38,Himachal Pradesh,Chamba,Bhattiyat,Kakira Kaswa,484569,Primary Health Centre Kakira,Village Post Office Kakira Teh Bhattiyat,05-Jan-21,Medical ,Primary Health Centre,32.45613167,75.93416333
39,Himachal Pradesh,Chamba,Bhattiyat,Kakira Kaswa,484569,Govt Veternary Hospital Kakira,Village Post Office Kakira Teh Bhattiyat,05-Jan-21,Medical ,Veterinary Hospital,32.454,75.93837333
40,Himachal Pradesh,Kangra,Nagrota Surian,Kaldun,488313,Bus stop Kaldun,Village Kaldun post office Bhallad,27-Nov-20,Transport/Admin,Bus Stand,32.19135667,76.032265
41,Himachal Pradesh,Kangra,Nagrota Surian,Kaldun,488313,Govt High School Kaldun,Village Kadun post office Bhallad,27-Nov-20,Education ,High School - General,32.19177667,76.03450333
42,Himachal Pradesh,Kangra,Nagrota Surian,Kaldun,488313,Govt Veterinary Dispensary Kaldun,Village Kaldun post office Bhallad,27-Nov-20,Medical ,Veterinary Hospital,32.19694167,76.02669833
43,Himachal Pradesh,Bilaspur,Bilaspur Sadar,Kallar,491285,Govt. Senior Secondary School Kallar,Village &Post office Kallar,17-Feb-21,Education ,Higher Secondary School,31.28417167,76.74378667
44,Himachal Pradesh,Chamba,Chamba,Judera,471945,panchayat headquarter judera,vpo judera teh.chamba district chamba,01-Jan-21,Transport/Admin,Panchayat Headquarter,32.63104833,76.17950333
45,Himachal Pradesh,Shimla,Narkanda,Kacheri,476666,Govt High School  kacheri,village kacheri tehsil Kumarsain distt Shimla,04-Mar-21,Education ,High School - General,31.29871018,77.44468951
46,Himachal Pradesh,Hamirpur,Tauni Devi,Kaidru,481646,Govt Veterinary Dispensary Kaidru,Village Kaidru Post Office Bhira Tehsil  Hamirpur,07-Nov-20,Medical ,Veterinary Hospital,31.63949833,76.557095
47,Himachal Pradesh,Kangra,Panchrukhi,Kailashpur,481973,AYURVEDIC DISPENSRY KAILASHPUR,VPO KAILASHPUR TEHSIL PALAMPUR DISTRICT KANGRA HP,23-Jan-21,Medical ,Primary Health Centre,32.00471249,76.61234002
48,Himachal Pradesh,Kangra,Panchrukhi,Kailashpur,481973,PANCHYAT HEAD QUARTER KAILASHPUR,VIL KAILASHPUR PO BHUANA TEHSIL PALAMPUR DIS KANGR,23-Jan-21,Transport/Admin,Panchayat Headquarter,32.00337193,76.60186708
49,Himachal Pradesh,Kangra,Sullah (Bhedu Mahadev),Kakrain,485122,Veterinary Dispensary Kakarain,Village Post Office Kakrain Tehsil Palampur ,11-Feb-21,Medical ,Veterinary Hospital,32.04777761,76.46590704
50,Himachal Pradesh,Kangra,Sullah (Bhedu Mahadev),Kakrain,485122,Panchayat Headquater Kakrain,Village Post Office Kakrain,02-Dec-20,Transport/Admin,Panchayat Headquarter,32.04768969,76.4659168
51,Himachal Pradesh,Chamba,Bhattiyat,Kakroti Ghatta,485358,Bus stand,vpo kakroti ghatta po kakroti ghatta,06-Jan-21,Transport/Admin,Bus Stand,32.25791975,76.12727181
