,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Jammu And Kashmir,Rajouri,Rajouri,Chanani-Bagla,200186,Himalayan College of Education Thandi Kassi,"Chanani Bagla, Block Rajouri",06-Nov-20,Education ,Degree College,33.38661812,74.2693061
2,Jammu And Kashmir,Baramula,Tangmarg,Chandiloora,202383,grameen bank chandilora,NTR chandilora tangmarg,11-Sep-20,Transport/Admin,Bank,34.06905884,74.45042128
3,Jammu And Kashmir,Baramula,Tangmarg,Chandiloora,202383,panchayat ghar chandilora tangmarg,ntr chandilora tangmarg,11-Sep-20,Transport/Admin,Panchayat Headquarter,34.06837613,74.44748709
4,Jammu And Kashmir,Baramula,Tangmarg,Chandiloora,202383,hanfia model high school,chandilora tangmarg,11-Sep-20,Education ,High School - General,34.07478302,74.45044062
5,Jammu And Kashmir,Baramula,Tangmarg,Chandiloora,202383,higher secondary school chandilora,chandilora tangmarg,11-Sep-20,Education ,Higher Secondary School,34.06984572,74.45364335
6,Jammu And Kashmir,Baramula,Tangmarg,Chandiloora,202383,government degree college tangmarg,chandilora tangmarg,11-Sep-20,Education ,Degree College,34.07119323,74.45385273
7,Jammu And Kashmir,Kathua,Bani,Chandral,203751,location  stand for chandral,block  bani,11-Nov-20,Transport/Admin,Bus Stand,32.77040333,75.813165
8,Jammu And Kashmir,Kupwara,Vawoora,Changdi,204730,apna panchayat Ghar KULIGAM,changdi KULIGAM,14-Sep-20,Transport/Admin,Panchayat Headquarter,34.54877979,74.41917933
9,Jammu And Kashmir,Kathua,Basohli,Changi,204773,Bus stand,Plassi,04-Dec-20,Transport/Admin,Bus Stand,32.5034352,75.73896018
10,Jammu And Kashmir,Udhampur,Udhampur,Charee,207202,Panchayat Ghar,Charee,25-Sep-20,Transport/Admin,Panchayat Headquarter,32.91996226,75.15850475
11,Jammu And Kashmir,Kupwara,Teetwal,Chatar Koote,208506,BDO Office,Chitterkote Teetwal,13-Sep-20,Transport/Admin,Block Headquarter,34.37244804,73.80031136
12,Jammu And Kashmir,Kupwara,Teetwal,Chatar Koote,208506,Bus Stop,Chitterkote Teetwal,13-Sep-20,Transport/Admin,Bus Stand,34.37213225,73.7960837
13,Jammu And Kashmir,Kupwara,Teetwal,Chatar Koote,208506,Panchayat Ghar,Chitterkote Teetwal,13-Sep-20,Transport/Admin,Panchayat Headquarter,34.37244491,73.80031711
14,Jammu And Kashmir,Kupwara,Teetwal,Chatar Koote,208506,J&k Bank,chitterkote Teetwal,13-Sep-20,Transport/Admin,Bank,34.37217907,73.80146885
15,Jammu And Kashmir,Pulwama,Tral,Chatru Gam,209192,veterinary,chatrugam,21-Oct-20,Medical ,Veterinary Hospital,33.9564912,75.13024871
16,Jammu And Kashmir,Anantnag,Achabal,Checki Imoh,212361,Bus stop,checki Imoh,23-Sep-20,Transport/Admin,Bus Stand,33.6889961,75.18606747
