,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Jharkhand,Gumla,Kamdara,Haphu,397763,10+2 Higher secondary school,Haphu,26-Aug-20,Education ,Higher Secondary School,22.96222621,84.87702671
2,Jharkhand,Gumla,Kamdara,Haphu,397763,Haphu bazar,Haphu,26-Aug-20,Agro ,Mandi (Notified),22.96215379,84.87221718
3,Jharkhand,Pashchimi Singhbhum,Kurnardungi,HAPUGUTU,397796,PRATHMIK  UPP SAWASTHKENDER HAPUGUTU KUMARDUNGI,HAPUGUTU KUMARDUNGI,24-Aug-20,Medical ,Primary Health Centre,22.19437192,85.74651039
4,Jharkhand,Pashchimi Singhbhum,Kurnardungi,HAPUGUTU,397796,PRATHMIK SAWASTHKENDER HAPUGUTU KUMARDUNGI,HAPUGUTU KUMARDUNGI,24-Aug-20,Medical ,Primary Health Centre,22.19437192,85.74651039
5,Jharkhand,Palamu,Chattarpur,HARAIYA,398032,Primary school,Haria,05-Dec-19,Education ,High School - General,24.28257726,84.32214298
6,Jharkhand,Saraikela Kharsawan,Kharsawan,haribhanja,400336,PHC HARIBHANJA,Haribhanja,14-Jul-20,Medical ,Primary Health Centre,22.80951753,85.83773657
7,Jharkhand,Saraikela Kharsawan,Kharsawan,haribhanja,400336,PANCHAYAT HEADQUATER HARIBHANJA,Haribhanja,14-Jul-20,Transport/Admin,Panchayat Headquarter,22.80919734,85.83801585
8,Jharkhand,Giridih,Bengabad,Harila,408542,Gram Panchyat Harila,Vill Harila,04-Jul-20,Transport/Admin,Panchayat Headquarter,24.36707758,86.30631345
9,Jharkhand,Pashchimi Singhbhum,Sonua,HARIMARA,408577,High School ,Harimara Sonua Westsinghbhum,25-Oct-19,Education ,High School - General,22.62760139,85.5249012
10,Jharkhand,Dumka,Raneshwar,Haripur,408995,panchayat headquarter,haripur,08-Jul-20,Transport/Admin,Panchayat Headquarter,24.05900667,87.48494333
