,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Ladakh,Leh,Durbugh,Durbok,1392994,Bus stop,Durbok,03-Nov-20,Transport/Admin,Bus Stand,34.08725568,78.12357941
2,Ladakh,Leh,Durbugh,Durbok,1392994,Veterinary dispensary,Durbuk,03-Nov-20,Medical ,Veterinary Hospital,34.10200748,78.11942006
3,Ladakh,Leh,Durbugh,Durbok,1392994,Ration store,Durbok,03-Nov-20,Agro ,Warehouse,34.08606271,78.12273939
4,Ladakh,Leh,Durbugh,Durbok,1392994,Panchayat Headquarter,Durbok,03-Nov-20,Transport/Admin,Panchayat Headquarter,34.08613058,78.12300438
5,Ladakh,Leh,Durbugh,Tagtse,1393019,Ration store,Tangtse,30-Oct-20,Agro ,Warehouse,34.03257025,78.16753737
6,Ladakh,Leh,Durbugh,Tagtse,1393019,Panchayat Ghar,Tangtse,30-Oct-20,Transport/Admin,Panchayat Headquarter,34.03080498,78.16718784
7,Ladakh,Leh,Durbugh,Tagtse,1393019,primary health centres,Tangtse,30-Oct-20,Medical ,Primary Health Centre,34.03300421,78.16821505
8,Ladakh,Leh,Durbugh,Tagtse,1393019,Block Head Quarter,Tangtse,30-Oct-20,Transport/Admin,Block Headquarter,34.02959248,78.1676249
9,Ladakh,Leh,Durbugh,Tagtse,1393019,veterinary Hospital,Tangtse,30-Oct-20,Medical ,Veterinary Hospital,34.0304063,78.16752892
10,Ladakh,Leh,Durbugh,Tagtse,1393019,Bus Stand,Tangtse,30-Oct-20,Transport/Admin,Bus Stand,34.0304537,78.16753579
11,Ladakh,Leh,Durbugh,Tagtse,1393019,J&k Bank,Tangtse,30-Oct-20,Transport/Admin,Bank,34.0330711,78.16829236
12,Ladakh,Leh,Khalsti,Tia,1393062,govt high school,tia,26-Dec-20,Education ,High School - General,34.33809574,76.95556168
13,Ladakh,Leh,Khalsti,Tia,1393062,ware house,tia,26-Dec-20,Agro ,Warehouse,34.35207843,76.96532115
14,Ladakh,Leh,Khalsti,Tia,1393062,bus stand,char char,26-Dec-20,Transport/Admin,Bus Stand,34.35240872,76.96449009
15,Ladakh,Leh,Kharu,Shara,1393094,"Govt High School, Shara",Shara,19-Oct-20,Education ,High School - General,33.77914546,77.89364896
16,Ladakh,Leh,Kharu,Upshi,1393096,bank,upshi,09-Nov-20,Transport/Admin,Bank,33.82896072,77.81547438
17,Ladakh,Leh,Leh,Saboo,1393121,animal husbandry,saboo,08-Dec-20,Medical ,Veterinary Hospital,34.12885725,77.63544903
18,Ladakh,Leh,Leh,Saboo,1393121,ration store 1,saboo,08-Dec-20,Agro ,Warehouse,34.12790955,77.63341986
19,Ladakh,Leh,Leh,Saboo,1393121,mahabodhi school,saboo,10-Dec-20,Education ,High School - General,34.10898241,77.60613768
20,Ladakh,Leh,Leh,Saboo,1393121,DPs school,saboo,09-Dec-20,Education ,High School - General,34.1271983,77.59751145
21,Ladakh,Leh,Leh,Saboo,1393121,JNV school,saboo,10-Dec-20,Education ,High School - General,34.13208453,77.58898982
22,Ladakh,Leh,Leh,Saboo,1393121,jk bank,saboo,08-Dec-20,Transport/Admin,Bank,34.12689517,77.6211464
23,Ladakh,Leh,Leh,Saboo,1393121,panchayat ghar,saboo,08-Dec-20,Transport/Admin,Panchayat Headquarter,34.12691667,77.62094893
24,Ladakh,Leh,Leh,Saboo,1393121,bus stand,saboo,08-Dec-20,Transport/Admin,Bus Stand,34.12650088,77.62155653
25,Ladakh,Leh,Leh,Saboo,1393121,ration store 2,saboo,08-Dec-20,Agro ,Warehouse,34.13577273,77.64392573
26,Ladakh,Leh,Leh,Saboo,1393121,fuel stop,saboo,09-Dec-20,Transport/Admin,Fuel Station,34.12001354,77.59850395
27,Ladakh,Leh,Durbugh,Manpangon,1393007,Panchayat Headquarter,Manpangon,03-Nov-20,Transport/Admin,Panchayat Headquarter,33.86071293,78.53021055
28,Ladakh,Leh,Durbugh,Manpangon,1393007,J&K Bank,Maan Pangon,03-Nov-20,Transport/Admin,Bank,33.86084489,78.5303133
