,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Manipur,Senapati,Kangpokpi T.D.Block,Jhil,464332,UJB school,jhil,05-Dec-20,Education ,High School - General,25.20277619,93.91084313
2,Manipur,Imphal East,Jiribam C.D.Block,Jirimukh,466840,Jirimukh Upper Primary School,Jirimukh,29-Dec-20,Education ,High School - General,24.69992694,93.08587957
3,Manipur,Senapati,Kangpokpi T.D.Block,Joupi,471454,Bus Stand,Joupi,26-Jun-20,Transport/Admin,Bus Stand,25.20146602,93.80861811
4,Manipur,Senapati,Kangpokpi T.D.Block,Joupi,471454,West Joupi Primary School,Joupi,26-Jun-20,Education ,High School - General,25.20119268,93.8062786
5,Manipur,Chandel,Chakpikarong T.D.Block,K. Phailen,475094,Bus Stand,K. Phailen,21-Oct-20,Transport/Admin,Bus Stand,24.23505726,93.873101
6,Manipur,Senapati,Saitu Gamphazol T.D.Block,K. Ponlen,475096,K.Phoipi Primary school,K.Phoipi village,03-Jul-20,Education ,High School - General,25.00229167,93.90250833
7,Manipur,Chandel,Chakpikarong T.D.Block,K.Bethel,475130,Bus Stand,K. Bethel,21-Oct-20,Transport/Admin,Bus Stand,24.12679318,93.83456119
8,Manipur,Chandel,Chakpikarong T.D.Block,K.Bethel,475130,transport,k.Bethel,13-Jan-21,Transport/Admin,Bus Stand,24.125843,93.83446107
9,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Kakching khunou makha high school,Kakching khunou hijam leikai,02-Mar-20,Education ,High School - General,24.40388866,93.89770678
10,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Gems academy kakching khunou,Kakching khunou ngaikhong leikai,02-Mar-20,Education ,High School - General,24.40450984,93.89982568
11,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Bus Stand,Kakching Khunou,28-Feb-20,Transport/Admin,Bus Stand,24.39756352,93.90219504
12,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Holy cross school,Kakching Khunou Lamyengching,29-Feb-20,Education ,High School - General,24.41069108,93.90120931
13,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Kakching khunou govt high school,Kakching khunou thingnam leikai,02-Mar-20,Education ,High School - General,24.40115764,93.90393444
14,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,"THE CHEKSHAPAT HIGH SCHOOL,Kakching,Khunou.",Chekshapat kakching khunou,05-Sep-20,Education ,High School - General,24.39612388,93.89717418
15,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Emmanuel mission shool,Kakching khunou tampak yum,02-Mar-20,Education ,High School - General,24.40492944,93.89754011
16,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Khomdombi memorial english school,Kakching khunou,02-Mar-20,Education ,High School - General,24.40222971,93.90427219
17,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,THE CHEKSHAPAT HIGH SCHOOL,Chekshapat kakching khunou,02-Mar-20,Education ,High School - General,24.39612388,93.89717418
18,Manipur,Thoubal,Kakching C.D.Block,Kakching Khunou,484422,Kakching khunou bazar,Kakching khunou,02-Mar-20,Agro ,Mandi (Notified),24.40372322,93.89923549
19,Manipur,Churachandpur,Henglep T.D.Block,KAMKEILON,497447,Kamkeilon Primary School,Kamkeilon,27-Nov-20,Education ,High School - General,24.46594611,93.46151447
20,Manipur,Senapati,Saikul T.D.Block,Kamuching,498560,Kamuching govt high school,kamuching,09-Jul-20,Education ,High School - General,24.72368357,94.11890436
21,Manipur,Senapati,Saikul T.D.Block,Kamuching,498560,bus stand,kamuching,09-Jul-20,Transport/Admin,Bus Stand,24.72074434,94.11952617
