,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Meghalaya,East Khasi Hills,Mylliem, Laitjem,737,D mercy refill centre,Laitjem,12-Jun-20,Transport/Admin,Fuel Station,25.52236743,91.79774414
2,Meghalaya,East Khasi Hills,Mylliem, Laitkor Mawrie,739,St Francis School ,Laitkor Mawrie ,15-Jun-20,Education ,High School - General,25.53901301,91.89344192
3,Meghalaya,East Khasi Hills,Mylliem, Laitkor Mawrie,739,Deni Lynda Persara School ,Laitkor Mawrie,15-Jun-20,Education ,High School - General,25.53736982,91.89171189
4,Meghalaya,East Khasi Hills,Mylliem, Laitkor Mawrie,739,Laitkor Presbyterian School ,laitkor Mawrie,15-Jun-20,Education ,High School - General,25.537508,91.8900496
5,Meghalaya,East Khasi Hills,Mawphlang, Lwai,769,Bus Stand,Lwai ,06-May-20,Transport/Admin,Bus Stand,25.48261167,91.74076667
6,Meghalaya,East Khasi Hills,Mylliem, Lyngkien,778,community hall,lyngkien,11-Jun-20,Transport/Admin,Panchayat Headquarter,25.50317673,91.80643517
7,Meghalaya,East Khasi Hills,Pynursla, Massar,803,"Dorbar Hall, Demmiew Massar",Massar,27-Feb-21,Transport/Admin,Panchayat Headquarter,25.37992507,91.86721548
8,Meghalaya,East Khasi Hills,Pynursla, Massar,803,"Dorbar Hall, Demmiew",Massar,27-Feb-21,Transport/Admin,Panchayat Headquarter,25.37992507,91.86721548
9,Meghalaya,East Khasi Hills,Mylliem, Mawdiang Diang,814,Sharon memorial school,Mawdiang diang,15-Jun-20,Education ,High School - General,25.60269177,91.9511596
10,Meghalaya,East Khasi Hills,Mylliem, Mawdiang Diang,814,NEIGRIHMS Hospital,Mawdiang diang,15-Jun-20,Medical ,Bedded Hospital,25.59236746,91.93924184
11,Meghalaya,East Khasi Hills,Mylliem, Mawtawar,905,Mawtawar presbyterian secondaryschool,"Mawtawar,Mawlai",13-Jun-20,Education ,High School - General,25.62082487,91.9214928
12,Meghalaya,East Khasi Hills,Mylliem, Mawtawar,905,Samuel Christian School,Mawtawar Umjalynshir,13-Jun-20,Education ,High School - General,25.65140876,91.94999269
13,Meghalaya,East Khasi Hills,Mylliem, Mawtawar,905,St Annes Secondary School,"Mawtawar, Mawlai",13-Jun-20,Education ,High School - General,25.61749801,91.91843743
14,Meghalaya,East Khasi Hills,Mawphlang, Mynsain,914,Mynsain High School ,Mynsain,08-May-20,Education ,High School - General,25.518236,91.76132255
15,Meghalaya,East Khasi Hills,Mawphlang, Nonglum Krang,946,State Vety Dispensary,krang,09-May-20,Medical ,Veterinary Hospital,25.57872611,91.75880846
16,Meghalaya,East Khasi Hills,Mawphlang, Nonglum Krang,946,Mandi Krang ,Nonglum Krang ,09-May-20,Agro ,Mandi (Notified),25.57977221,91.76207549
17,Meghalaya,East Khasi Hills,Mawphlang, Nonglum Krang,946,United Cristian Secondary School,Lumkynton Krang,08-May-20,Education ,High School - General,25.57825667,91.75847333
18,Meghalaya,East Khasi Hills,Pynursla, Nongmadan,948,Multi Facility Centre,Nongmadan Shatsngi Raid Nongkhlieng,27-Feb-21,Transport/Admin,Panchayat Headquarter,25.31274833,91.90960833
19,Meghalaya,East Khasi Hills,Pynursla, Nongmadan,948,Dorbar hall,Nongmadan shatsngi,27-Feb-21,Transport/Admin,Panchayat Headquarter,25.31037333,91.90405667
20,Meghalaya,East Khasi Hills,Pynursla, Pashum,973,Community Hall,pashum,12-Jun-20,Transport/Admin,Panchayat Headquarter,25.21195739,91.99045075
21,Meghalaya,East Khasi Hills,Pynursla, Pashum,973,godown,pashum,12-Jun-20,Agro ,Collection Centre or Pack House,25.21156692,91.9903139
