,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Mizoram,Lawngtlai,Chawngte,Gobasury,363757,VC redidence,Gobasury,07-Jun-20,Transport/Admin,Panchayat Headquarter,22.0526707,92.65386593
2,Mizoram,Aizawl,Phullen,Suangpuilawn,1011576,Rural Bank,Suangpuilawn,17-Jun-20,Agro ,Agro Industry,23.95362976,93.04172033
3,Mizoram,Aizawl,Phullen,Suangpuilawn,1011576,PHC,Suangpuilawn,17-Jun-20,Medical ,Primary Health Centre,23.95022092,93.03893619
4,Mizoram,Aizawl,Phullen,Suangpuilawn,1011576,Storage centre,Suangpuilawn,17-Jun-20,Agro ,Collection Centre or Pack House,23.95183729,93.04052607
5,Mizoram,Aizawl,Phullen,Suangpuilawn,1011576,HSS chool,Suangpuilawn,17-Jun-20,Education ,Higher Secondary School,23.95909823,93.04070846
6,Mizoram,Aizawl,Phullen,Suangpuilawn,1011576,MGNREGA House,Suangpuilawn,17-Jun-20,Transport/Admin,Panchayat Headquarter,23.95508443,93.0420173
7,Mizoram,Saiha,Tuipang,Supha,1019096,Paddy field,Supha,06-Jun-20,Agro ,Agro Industry,22.12611553,92.92227128
8,Mizoram,Lunglei,Lunglei,Thaizawl,1042610,Village Council President House,"Venglai,Thaizawl",08-Jun-20,Transport/Admin,Panchayat Headquarter,22.81073928,92.80629337
9,Mizoram,Saiha,Tuipang,Theiva,1048401,Sumo stand,Theiva,02-Jun-20,Transport/Admin,Bus Stand,22.39808594,93.0132844
10,Mizoram,Saiha,Tuipang,Theiva,1048401,Bus Stand,Theiva,02-Jun-20,Transport/Admin,Bus Stand,22.39904162,93.0129737
11,Mizoram,Serchhip,Serchhip,Thenzawl,1049226,Bazar Shed,Thenzawl,20-Jun-20,Agro ,GRaM (Notified),23.28118876,92.77772333
12,Mizoram,Serchhip,Serchhip,Thenzawl,1049226,Village Council Court,Thentlang,05-Jun-20,Transport/Admin,Panchayat Headquarter,23.42455662,92.9076844
13,Mizoram,Serchhip,Serchhip,Thenzawl,1049226,Village council hall,"Thenzawl, Venghlun",29-May-20,Transport/Admin,Panchayat Headquarter,23.28060766,92.7781464
14,Mizoram,Serchhip,Serchhip,Thenzawl,1049226,SDO (Civil) Office,"Thenzawl, Kanaan Veng",29-May-20,Transport/Admin,Block Headquarter,23.28413973,92.76346419
