Textbox27,,,,,,,,,,,,
,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Nagaland,Tuensang,Sangsangnyu,HELIPONG VILLAGE,420046,helipong village council,helipong village,06-Jul-20,Transport/Admin,Panchayat Headquarter,26.21916564,94.76591758
2,Nagaland,Tuensang,Sangsangnyu,HELIPONG VILLAGE,420046,Mandi,Helipong,06-Jul-20,Agro ,Mandi (Notified),26.22096598,94.67708367
3,Nagaland,Dimapur,Niuland,Hovukhe,427164,Panchayat,Hovukhu,04-Jul-20,Transport/Admin,Panchayat Headquarter,25.97646333,93.94785167
4,Nagaland,Dimapur,Niuland,Hovukhe,427164,mandi,Hovukhu,04-Jul-20,Agro ,Mandi (Notified),25.97738833,93.94974167
5,Nagaland,Dimapur,Niuland,Hovukhe,427164,bus stand,Hovukhu,04-Jul-20,Transport/Admin,Bus Stand,25.97294167,93.95029
6,Nagaland,Dimapur,Kuhoboto,Suhoi,1013463,mandi,Suhoi,04-Jul-20,Agro ,Mandi (Notified),25.90036333,93.83264
7,Nagaland,Dimapur,Kuhoboto,Suhoi,1013463,suhoi vill council,suhoi,04-Jul-20,Transport/Admin,Panchayat Headquarter,25.899495,93.831865
8,Nagaland,Dimapur,Kuhoboto,Suhoi,1013463,Bus stand,Suhoi,04-Jul-20,Transport/Admin,Bus Stand,25.89884333,93.83039667
9,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,pack house,suni,16-Jul-20,Agro ,Collection Centre or Pack House,25.59551391,94.39352089
10,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,warehouse no.2,sumi,16-Jul-20,Agro ,Warehouse,25.5907369,94.3815695
11,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,bus stop,sumi,16-Jul-20,Transport/Admin,Bus Stand,25.5927495,94.3836568
12,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,warehouse,sumi,16-Jul-20,Agro ,Warehouse,25.5930611,94.3855847
13,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,panchayat hq,sumi,16-Jul-20,Transport/Admin,Panchayat Headquarter,25.5957726,94.39421297
14,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,handloom weaving,sumi,16-Jul-20,Agro ,Agro Industry,25.5927495,94.3836568
15,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,collection centre,sumi,16-Jul-20,Agro ,Collection Centre or Pack House,25.5927495,94.3836568
16,Nagaland,Phek,Pfutsero,Sumi Swemi,1017007,mandi,sumi,16-Jul-20,Agro ,Mandi (Notified),25.59576261,94.39424502
17,Nagaland,Dimapur,Medziphema,Kashiram Ao,520120,St. John HR. sec. school,kashiram Ao,21-Jan-21,Education ,Higher Secondary School,25.90078333,93.68541667
