,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Pondicherry,Puducherry,Ariankuppam,Andiyarpalayam,1388236,Govt primary school,Andiyarpalayam,17-Sep-21,Education ,High School - General,11.857125,79.80228667
2,Pondicherry,Puducherry,Ariankuppam,Andiyarpalayam,1388236,Health and wellness centre,Andiyarpalayam,17-Sep-21,Medical ,Primary Health Centre,11.85736833,79.80169333
3,Pondicherry,Puducherry,Ariankuppam,Andiyarpalayam,1388236,milk collection centre,Andiyarpalayam,17-Sep-21,Agro ,Collection Centre or Pack House,11.85713167,79.80284833
4,Pondicherry,Puducherry,Ariankuppam,Kuruvinatham,1388251,Veterinary hospital,Kuruvinatham,23-Nov-22,Medical ,Veterinary Hospital,11.793631,79.730762
5,Pondicherry,Puducherry,Ariankuppam,Kuruvinatham,1388251,Health and wellness centre,kuruvinatham,17-Sep-21,Medical ,Primary Health Centre,11.79297,79.73136833
6,Pondicherry,Puducherry,Ariankuppam,Kuruvinatham,1388251,Govt High school,kuruvinatham,17-Sep-21,Education ,High School - General,11.79361667,79.73095167
7,Pondicherry,Puducherry,Ariankuppam,Kuruvinatham,1388251,Indian Bank,kuruvinatham,17-Sep-21,Transport/Admin,Bank,11.795255,79.73608333
8,Pondicherry,Puducherry,Ariankuppam,Kuruvinatham,1388251,milk collection centre,kuruvinatham,17-Sep-21,Agro ,Collection Centre or Pack House,11.79377,79.73205167
9,Pondicherry,Puducherry,Ariankuppam,Kuruvinatham,1388251,Grama panchayat office,kuruvinatham,17-Sep-21,Transport/Admin,Panchayat Headquarter,11.79327833,79.73093167
10,Pondicherry,Puducherry,Ariankuppam,Irulanchandai,1388253,Govt primary school,Irulanchandai,17-Sep-21,Education ,High School - General,11.80026667,79.72935
11,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Ranjith Agency (Bharat petroleum),Kirumpapakkam,24-Nov-22,Transport/Admin,Fuel Station,11.8237455,79.7822506
12,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Indian Bank,Kirumpapakkam,24-Nov-22,Transport/Admin,Bank,11.8196242,79.781161
13,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Sabari College of nursing,Kirumpapakkam,24-Nov-22,Education ,Degree College,11.823415,79.78248
14,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Aarupadai Veedu Medical College & Hospital,Kirumpapakkam,24-Nov-22,Education ,Degree College,11.83125333,79.78134167
15,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,health and wellness centre,kirumampakkam,23-Sep-21,Medical ,Primary Health Centre,11.82055833,79.78405167
16,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Village Panchayat Office,Kirumpapakkam,24-Nov-22,Transport/Admin,Panchayat Headquarter,11.81946167,79.78552667
17,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Govt higher secondary school,kirumampakkam,23-Sep-21,Education ,Higher Secondary School,11.81647833,79.79085333
18,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Rajiv college of engineering and technology,Kirumpapakkam,24-Nov-22,Education ,Degree College,11.8277207,79.7831382
19,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,Veterinary hospital,Kirumpapakkam,24-Nov-22,Medical ,Veterinary Hospital,11.82037167,79.78573167
20,Pondicherry,Puducherry,Ariankuppam,Kirumampakkam,1388268,govt primary school,kirumampakkam,23-Sep-21,Education ,High School - General,11.81938833,79.78557167
21,Pondicherry,Puducherry,Ariankuppam,Moorthikuppam,1388287,Govt Smart primary school,moorthikuppam,23-Sep-21,Education ,High School - General,11.79103667,79.78800333
22,Pondicherry,Puducherry,Ariankuppam,Moorthikuppam,1388287,health and wellness centre,moorthikuppam,23-Sep-21,Medical ,Primary Health Centre,11.79085167,79.78802667
23,Pondicherry,Puducherry,Ariankuppam,Manavely,1388233,Govt primary school,Manavely,23-Sep-21,Education ,High School - General,11.89072333,79.80962667
24,Pondicherry,Puducherry,Ariankuppam,Manavely,1388233,Govt girls higher secondary school,manavely,23-Sep-21,Education ,Higher Secondary School,11.892145,79.80976167
25,Pondicherry,Puducherry,Ariankuppam,Edayarpalayam,1388240,Govt primary school,Edayarpalayam,17-Sep-21,Education ,High School - General,11.870065,79.79866667
26,Pondicherry,Puducherry,Ariankuppam,Chinna Karayaputhur,1388247,Govt.primary school,cinnakaraiyamputhur,23-Aug-21,Education ,High School - General,11.81696167,79.667585
27,Pondicherry,Puducherry,Ariankuppam,Chinna Karayaputhur,1388247,Sri Sasan Indian Oil Agency,Chinna Karaiyambuthur,23-Nov-22,Transport/Admin,Fuel Station,11.819945,79.6686626
