,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Punjab,Ludhiana,Ludhiana II,Bhairo muna,133422,panchyat headquarter,bhairo munna,23-Nov-19,Transport/Admin,Panchayat Headquarter,30.84827167,76.00906667
2,Punjab,Ropar,Roopnagar,Bhakkumajra,134476,Panchayat Ghar,Bhakkumajra,25-Oct-19,Transport/Admin,Panchayat Headquarter,30.90286833,76.46250333
3,Punjab,Ropar,Roopnagar,Bhakkumajra,134476,Civil Veterinary Hospital,Bhakkumajra,25-Oct-19,Medical ,Veterinary Hospital,30.90349667,76.46227167
4,Punjab,Ropar,Roopnagar,Bhakkumajra,134476,Govt Senior Secondary School,Bhakkumajra,25-Oct-19,Education ,Higher Secondary School,30.90384333,76.46680167
5,Punjab,Ropar,Anandpur Sahib,Bhallari,135262,panchayat headquarter,bhallari,01-Nov-19,Transport/Admin,Panchayat Headquarter,31.30655668,76.3445328
6,Punjab,Ropar,Anandpur Sahib,Bhallari,135262,primary health center,bhallari,01-Nov-19,Medical ,Primary Health Centre,31.3064422,76.34433699
7,Punjab,Ropar,Anandpur Sahib,Bhallari,135262,vetnary hospital,bhallari,01-Nov-19,Medical ,Veterinary Hospital,31.30389512,76.34774387
8,Punjab,Ropar,Anandpur Sahib,Bhallari,135262,khalsa model school,bhallari,01-Nov-19,Education ,High School - General,31.30399704,76.34769022
9,Punjab,Moga,Baghapurana,Bhaloor,135329,senior secondary school,bhaloor,06-Sep-19,Education ,Higher Secondary School,30.70283708,74.92052574
10,Punjab,Hoshiarpur,Hajipur,Bhambowal,136297,panchayat headquarter,Bhambowal,12-Sep-19,Transport/Admin,Panchayat Headquarter,31.93075963,75.69997824
11,Punjab,Ludhiana,Ludhiana II,Bhamian Kalan,136379,sarkari high school,bhamiyan,23-Sep-19,Education ,Higher Secondary School,30.91776333,75.938535
12,Punjab,Ludhiana,Ludhiana II,Bhamian Kalan,136379,Panchayat Headquarter,Bhamian Kalan,24-Nov-19,Transport/Admin,Panchayat Headquarter,30.91739,75.938455
13,Punjab,Ludhiana,Ludhiana II,Bhamian Khurd,136380,Panchayat Headquarter Bhaman Khurd,Village Bhaman Khurd,13-Oct-19,Transport/Admin,Panchayat Headquarter,30.9108264,75.9253164
14,Punjab,Ludhiana,Ludhiana II,Bhamian Khurd,136380,obc bank,bhamiyan khurd,23-Sep-19,Transport/Admin,Bank,30.911335,75.91921333
15,Punjab,Jalandhar,Nurmehal,Bhandal Boota,136780,Veterinary Hospital,Bhandal boota,04-Sep-19,Medical ,Veterinary Hospital,31.12406468,75.57497105
16,Punjab,Jalandhar,Nurmehal,Bhandal Boota,136780,Bus stop,Bhandal boota,04-Sep-19,Transport/Admin,Bus Stand,31.12331662,75.57399181
17,Punjab,Nawashahar,Balachaur,BHANEWAL,137533,panchiat  ghar,bhanewal,05-Sep-19,Transport/Admin,Panchayat Headquarter,31.12594167,76.358315
18,Punjab,Mukatsar,Muktsar,Bhangchari,137665,Government Senior Secondary  School ,Village  Bhangchari,02-Sep-19,Education ,High School - General,30.38533815,74.46545969
19,Punjab,Mukatsar,Muktsar,Bhangchari,137665,panchayat headquarter ,bhangchari,31-Oct-19,Transport/Admin,Panchayat Headquarter,30.41125,74.490505
20,Punjab,Mukatsar,Muktsar,Bhangewala,137684,panchayat Headquarter ,Bhangewala,31-Oct-19,Transport/Admin,Panchayat Headquarter,30.63509506,74.5560207
21,Punjab,Mukatsar,Muktsar,Bhangewala,137684,Higher Secondary school ,Change wala,31-Oct-19,Education ,Higher Secondary School,30.63157327,74.56128085
22,Punjab,Mukatsar,Muktsar,Bhangewala,137684,Punjab and Sindh bank,village bhangewala,29-Aug-19,Transport/Admin,Bank,30.62568124,74.57541901
23,Punjab,Mukatsar,Muktsar,Bhangewala,137684,grain market,village bhangewala,29-Aug-19,Agro ,Mandi (Notified),30.62780781,74.57674188
24,Punjab,Hoshiarpur,Hoshiarpur-1,Bhakalan,134209,Panchayat Headquarter,Village Bhaklan,30-Oct-19,Transport/Admin,Panchayat Headquarter,31.58516333,75.83104833
25,Punjab,Mansa,Jhunir,Bhalike,135160,panchayat headquarter,bhalike,30-Aug-19,Transport/Admin,Panchayat Headquarter,29.85888515,75.30578159
26,Punjab,Mansa,Jhunir,Bhalike,135160,mandi,bhalike,30-Aug-19,Agro ,Mandi (Notified),29.85998029,75.30250375
27,Punjab,Jalandhar,Nurmehal,Bhalowal,135345,Bus stand,Bhalowal,05-Sep-19,Transport/Admin,Bus Stand,31.07802957,75.58629952
28,Punjab,Jalandhar,Shahkot,Bhamanian,136014,Panchayat ghar,bhamanian,08-Sep-19,Transport/Admin,Panchayat Headquarter,31.05386479,75.30666507
29,Punjab,Jalandhar,Shahkot,Bhamanian,136014,school,Bhamanian,08-Sep-19,Education ,High School - General,31.05382097,75.30644737
30,Punjab,Jalandhar,Shahkot,Bhamanian,136014,cop society,bhamanian,08-Sep-19,Agro ,Agro Industry,31.0527368,75.30424591
