,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Sikkim,South,Ravongla,L  Ralong,610738,Panchayat Office,Lower Ralong,03-Jun-20,Transport/Admin,Panchayat Headquarter,27.32465643,88.31829061
2,Sikkim,South,Ravongla,L  Ralong,610738,GRAM PRASASHAN KENDRA,L RALONG,03-Jun-20,Transport/Admin,Panchayat Headquarter,27.32478686,88.31854227
3,Sikkim,South,Ravongla,L  Ralong,610738,Rangcham Secondary School,Lower Ralong,03-Jun-20,Education ,High School - General,27.32404776,88.32171049
4,Sikkim,South,Ravongla,L  Ralong,610738,Milti Purpose Cooperative Society,Lower Ralong,03-Jun-20,Agro ,Collection Centre or Pack House,27.32534946,88.32041134
5,Sikkim,South,Ravongla,L  Ralong,610738,Primary Health Center Office,Lower Ralong,03-Jun-20,Medical ,Primary Health Centre,27.32372725,88.32163783
6,Sikkim,West Sikkim,Gyalshing,Gangyep,344910,Eklabya Modern Residency School,Upper Gangyep,26-Jun-20,Education ,Higher Secondary School,27.35139575,88.30190216
7,Sikkim,North,Mangan,Naga,741264,Naga Secondary School,Naga,22-Jun-20,Education ,High School - General,27.54013985,88.62118638
8,Sikkim,North,Mangan,Naga,741264,Naga High School,"Naga, Mangan",13-Jun-20,Education ,High School - General,27.54029532,88.62098329
9,Sikkim,East,Gangtok,NAZITAM,775256,food security and agriculture development department & HCCD,martam nazitam,21-Jun-20,Agro ,GRaM (Notified),27.27845369,88.5210465
10,Sikkim,East,Gangtok,MAJITAR,1280572,ICICI Bank,Majitar,21-Jun-20,Transport/Admin,Bank,27.18630516,88.50300113
11,Sikkim,East,Gangtok,MAJITAR,1280572,Bharat Petroleum,Majitar,21-Jun-20,Transport/Admin,Fuel Station,27.18795528,88.50028097
12,Sikkim,South,Namchi,PERBINGTAR,1282763,Horticulture Office,Perbingtaar,11-Jun-20,Agro ,Agro Industry,27.17783406,88.4070482
13,Sikkim,South,Namchi,PERBINGTAR,1282763,organic vegetable stall,Perbingtar,09-Jun-20,Agro ,Mandi (Notified),27.18616069,88.40201762
14,Sikkim,South,Namchi,PERBINGTAR,1282763,collection centre,Perbingtar,11-Jun-20,Agro ,Collection Centre or Pack House,27.17766215,88.41025131
15,Sikkim,South,Namchi,PERBINGTAR,1282763,nursery,Perbingtar,11-Jun-20,Agro ,Agro Industry,27.17773957,88.40672869
16,Sikkim,South,Namchi,Dovan,1282765,village level worker,lower parbing dovan,16-Jun-20,Agro ,Mandi (Notified),27.185715,88.41764167
17,Sikkim,South,Namchi,Gangyap,1282782,building and housing department,gangyap,08-Jun-20,Transport/Admin,Block Headquarter,27.16591667,88.35894333
18,Sikkim,South,Namchi,Gangyap,1282782,Roads and bridges department,gangyap,08-Jun-20,Transport/Admin,Block Headquarter,27.16583333,88.35891667
