,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Tripura,South Tripura,Rupaichari,Jarkunda Para,470933,Baishnabpur PHC,Near Baishnabpur Bazar Baishnabpur Satchand,02-Jan-20,Medical ,Primary Health Centre,23.04634167,91.77143333
2,Tripura,Dhalai,Salema,Kabiraj Tilla,475824,SB DeepTubewell Kabiraj tilla,South KACHUCHERA,03-Mar-20,Agro ,Is Part of Rurban Cluster?,24.00918782,91.8442601
3,Tripura,Dhalai,Salema,Kabiraj Tilla,475824,NORTH KACHUCHERRA VC OFFICE,KACHUCHERRA VC OFFICE SALEMA DHALAI TRIPURA,02-Mar-20,Transport/Admin,Panchayat Headquarter,24.00725415,91.84155308
4,Tripura,North Tripura,Damcherra,Kachari Cherra Para,476510,Kacharicherra ADC Village Panchayat Office,Kachari Cherra Para,16-May-20,Transport/Admin,Panchayat Headquarter,24.20910915,92.30547269
5,Tripura,North Tripura,Kadamtala,East Kalagangerpar,486016,KALAGANGERPAR HS SCHOOL,Kalagangapar Rd Kurti Tripura,13-Dec-19,Education ,Higher Secondary School,24.47230721,92.21718287
6,Tripura,Dhalai,Ambassa,Kalai Para,486134,Ghantacherra Village Committee,"Kalai Para, Ghantacherra",03-Mar-20,Transport/Admin,Panchayat Headquarter,23.93512775,91.81800552
7,Tripura,South Tripura,Satchand,Kalijoy Roaja Para,489635,GOPAL RP HIGH SCHOOL,Uttar Kalapania Tripura,15-Jan-20,Education ,High School - General,23.1454345,91.64321562
8,Tripura,South Tripura,Satchand,Kalijoy Roaja Para,489635,Taikumba Bazar,Taikumba,28-May-20,Agro ,Mandi (Notified),23.14453679,91.64365255
9,Tripura,Dhalai,Ambassa,Kamalacherra,494876,Kamalacherra Village Committee,Kamalacherra,02-Mar-20,Transport/Admin,Panchayat Headquarter,23.91348112,91.8389499
10,Tripura,Dhalai,Ambassa,Kamalacherra,494876,DALUBARI GATE CLASS XII SCHOOL,Near Radha Gobinda Seba Ashram Ambassa Tripura,29-Oct-19,Education ,Higher Secondary School,23.918424,91.83723514
11,Tripura,Dhalai,Ambassa,Kamalacherra,494876,State Bank of India,TRTC BUS STAND AMBASSA TRIPURA,03-Mar-20,Transport/Admin,Bank,23.92010035,91.84988625
12,Tripura,North Tripura,Kadamtala,Brajendranagar Colony,501035,veterinary hospital,Brajendranagar,13-Dec-19,Medical ,Veterinary Hospital,24.48221454,92.16385925
13,Tripura,Dhalai,Ambassa,Kartik Debbarma Para,517404,Industrial Training Institute,Lalchari Ambassa Dhalai Tripura,03-Mar-20,Education ,ITI,23.93107372,91.85292949
14,Tripura,Dhalai,Ambassa,Kartik Debbarma Para,517404,GOPAL SARDAR PARA HIGH SCHOOL,Netaji Nagar Ambassa Tripura,29-Oct-19,Education ,High School - General,23.92786077,91.84087154
15,Tripura,North Tripura,Panisagar,North Rowa,926499,Rowa RURBAN,Ruwa,09-Jun-20,Agro ,Is Part of Rurban Cluster?,24.27712401,92.16613687
16,Tripura,South Tripura,Hrishyamukh,Battali,929957,ISHAN CH PARA HIGH SCHOOL,Krishnanagar Tripura,16-Jan-20,Education ,High School - General,23.11021333,91.53665
17,Tripura,South Tripura,Rupaichari,Netaji Palli Para,952614,Industrial Training Institute,Kathalchhari Rupaichari South Tripura,02-Jan-20,Education ,ITI,23.12098667,91.67444333
18,Tripura,South Tripura,Rupaichari,Netaji Palli Para,952614,Dakshin Manubankul ADC Village,"Manubankul Sabroom
South Tripura",21-Jan-20,Transport/Admin,Panchayat Headquarter,23.12005791,91.68599302
19,Tripura,West Tripura,Hezamara,Sarat Chandra,956465,CHANDPUR HS SCHOOL,Patnipara Hezamara West Tripura,15-Feb-20,Education ,Higher Secondary School,23.93091844,91.4595315
20,Tripura,South Tripura,Satchand,Satchand Bazar,962531,Tripura Gramin Bank,NH 08 Opp Satchand Block Tripura,04-Jan-20,Transport/Admin,Bank,23.09217773,91.63976258
21,Tripura,South Tripura,Satchand,Satchand Bazar,962531,Satchand Bazar,Satchand,28-May-20,Agro ,Mandi (Notified),23.10069021,91.63936133
22,Tripura,South Tripura,Rajnagar,School tila,966918,RAJNAGAR COL HS SCHOOL,Belonia Bhabanipur Rd Rajnagar Tripura,08-Jan-20,Education ,Higher Secondary School,23.2330209,91.39275849
23,Tripura,West Tripura,Jirania,Jirania Group - Part,466749,Jirania CHC Hospital,Jirania Block Tilla Jirania Tripura,02-Jan-20,Medical ,Community Health Centre,23.82168,91.44881667
24,Tripura,West Tripura,Jirania,Jirania Group - Part,466749,State Bank of India,Jirania Tripura,07-Jan-20,Transport/Admin,Bank,23.8184245,91.4396609
25,Tripura,West Tripura,Jirania,Jirania Group - Part,466749,Jirania Bazar,Jirania West Tripura,26-Feb-20,Agro ,Mandi (Notified),23.8185149,91.4393916
26,Tripura,South Tripura,Rupaichari,Munda Para,471527,LUDHUA HIGH SCHOOL,Paschim Sabroom Tripura,01-Jan-20,Education ,High School - General,23.04468167,91.73523667
27,Tripura,West Tripura,Jirania,Office tilla Part,476105,Jirania RD Block,Jirania Tripura,16-Jan-20,Transport/Admin,Block Headquarter,23.8220006,91.4499399
28,Tripura,South Tripura,Rupaichari,Punichand Para,506623,Purba Ludhua Bazar,"Ludhua, Rupaichari RD Block",09-Jun-20,Agro ,Mandi (Notified),23.04729672,91.73128723
29,Tripura,West Tripura,Dukli,KANTAR JALA,506634,SRINAGAR KABI SUKANTA HIGH,South Ananda Nagar Agartala Tripura ,15-Feb-20,Education ,High School - General,23.76661355,91.32292366
30,Tripura,West Tripura,Dukli,KANTAR JALA,506634,Srinagar Auto and Bus Stand,Srinagar South Anandanagar Dukli West Tripura,24-Jun-20,Transport/Admin,Bus Stand,23.76679945,91.32284583
31,Tripura,South Tripura,Rupaichari,Kusum para,518857,Magroom ADC village,Sabroom South Tripura,13-Feb-20,Transport/Admin,Panchayat Headquarter,23.072675,91.77656167
32,Tripura,West Tripura,Dukli,KATHAL TALI SOUTH PARA,523410,PRANABANANADA VIDYAMANDIR HS,Kanchanpally Behind ONGC Quarter Agartala,12-Mar-20,Education ,Higher Secondary School,23.78873079,91.27494709
33,Tripura,West Tripura,Dukli,KATHAL TALI SOUTH PARA,523410,Khataltali Bazar,Khataltali,15-May-20,Agro ,Mandi (Notified),23.7823604,91.28793608
