,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Uttarakhand,Udham Singh Nagar,Sitarganj,Baghora,67749,Indian Oil,Baghora,23-Mar-21,Transport/Admin,Fuel Station,28.93154933,79.72572166
2,Uttarakhand,Udham Singh Nagar,Sitarganj,Baghora,67749,GS Convent School,Baghora,22-Mar-21,Education ,Higher Secondary School,28.93243317,79.7306262
3,Uttarakhand,Udham Singh Nagar,Sitarganj,Baghora,67749,Pisciculture,Baghora,24-Mar-21,Agro ,Agro Industry,28.92424363,79.73143021
4,Uttarakhand,Udham Singh Nagar,Sitarganj,Baghora,67749,Warehouse,Baghora,24-Mar-21,Agro ,Warehouse,28.92592075,79.73023349
5,Uttarakhand,Udham Singh Nagar,Sitarganj,Baghora,67749,Pisciculture,Baghora,24-Mar-21,Agro ,Agro Industry,28.92434399,79.73150217
6,Uttarakhand,Dehradun,Chakarata,Bagi,67985,Bus Stand,bagi,03-Apr-21,Transport/Admin,Bus Stand,30.93225042,77.87276783
7,Uttarakhand,Dehradun,Chakarata,Bagi,67985,Primary Health Centre,bagi,03-Apr-21,Medical ,Primary Health Centre,30.93077854,77.86979623
8,Uttarakhand,Dehradun,Chakarata,Bagi,67985,Panchayat Headquarter,bagi,03-Apr-21,Transport/Admin,Panchayat Headquarter,30.93063418,77.86940891
9,Uttarakhand,Rudraprayag,Augustmuni,Bagoli Talli,68521,panchayat bhawan,Bagoli Talli,02-Sep-20,Transport/Admin,Panchayat Headquarter,30.22199692,78.91657021
10,Uttarakhand,Udham Singh Nagar,Rudrapur,Bagwala,69238,Panchayat HQ,Bagwala,18-Mar-21,Transport/Admin,Panchayat Headquarter,28.98669827,79.33252279
11,Uttarakhand,Udham Singh Nagar,Rudrapur,Bagwala,69238,Indian Packaging Products,Bagwala,18-Mar-21,Agro ,Collection Centre or Pack House,28.98627758,79.33543562
