Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE,Postcode_py,address_py
1,Andhra Pradesh,Krishna,Chatrai,Chatrai,209083,bedded hospital,chatrai,03-Sep-19,Medical ,Bedded Hospital,16.99992649,80.86482122,521214,"Burugagudem, Chatrai, Eluru District, Andhra Pradesh, 521214, India"
2,Andhra Pradesh,Y S R Kadapa,Chennur,Chennur,214338,Community Health Centre,"Dr no 14/365,KOR  colony, chennur",04-Sep-19,Medical ,Community Health Centre,14.55763912,78.79598499,516162,"Chennur, YSR District, Andhra Pradesh, 516162, India"
3,Andhra Pradesh,Guntur,Bellamkonda,Chandrajupalem,203720,beded hospital ,chandrajupalem,13-Aug-19,Medical ,Bedded Hospital,16.52947574,80.00726098,522411,"Rajupalem - Amaravathi Road, Avuluvdripalem, Krosuru, Palnadu District, Andhra Pradesh, 522411, India"
4,Andhra Pradesh,Chittoor,Gudipala,CHAVATANTHANGAL H W,211799,bedded hospital,chittoor district,04-Sep-19,Medical ,Bedded Hospital,13.13154818,79.11406796,517132,"NH40, Gopalapuram, Chittoor, Chittoor District, Andhra Pradesh, 517132, India"
5,Andhra Pradesh,Visakhapatnam,Anandapuram,Chandaka,200826,hospital bedded,main Road side ,04-Aug-19,Medical ,Bedded Hospital,17.92266521,83.36154449,515301,"Anadapuram Road, Podugupalem, Chandaka, Anandapuram, Visakhapatnam District, Andhra Pradesh, India"
6,Andhra Pradesh,East Godavari,Pedapudi,G Mamidada,332182,hospital,near ramalayam,04-Sep-19,Medical ,Bedded Hospital,16.93406057,82.07106745,533343,"Gollamamidada, Pedapudi, Kakinada District, Andhra Pradesh, 533343, India"
7,Andhra Pradesh,Prakasam,Chadrasekarapuram,Chandrasekharapuram,204038,bedded hospital,chandrasekharapuram bedded hospital,28-Aug-19,Medical ,Bedded Hospital,15.18076333,79.27511,523112,"Primary Health Centre, Chandra Sekhara Puram, NH167B, Chandrasekharapuram, Pamur, Prakasam District, Andhra Pradesh, 523112, India"
8,Andhra Pradesh,Y S R Kadapa,Chapadu,Chapadu,205706,phcbededhospital,chapadugpchapadumandal,04-Sep-19,Medical ,Bedded Hospital,14.72549561,78.65955548,516356,"PHC, Chapadu, Chapadu, Chapad, YSR District, Andhra Pradesh, 516356, India"
9,Andhra Pradesh,Srikakulam,Sompeta,Chikatisompeta,221548,community health center,opposite R & B road,12-Sep-19,Medical ,Community Health Centre,18.9479288,84.58372138,532284,"Sompeta, Srikakulam District, Andhra Pradesh, 532284, India"
10,Andhra Pradesh,Prakasam,Chimakurthi,Chimakurthy,223780,community health centre,chimakurthy,08-Sep-19,Medical ,Community Health Centre,15.58463717,79.87473128,523226,"Chimakurthi, Prakasam District, Andhra Pradesh, 523226, India"
11,Andhra Pradesh,Prakasam,Cumbum,Cumbum,237574,community health centre,cumbum,04-Sep-19,Medical ,Community Health Centre,15.58468885,79.11593593,523333,"Cumbum, Prakasam District, Andhra Pradesh, 523333, India"
12,Andhra Pradesh,Srikakulam,Saravakota,Cheedipudi,212547,Government Homeo Hospital,Cheedipudi,10-Aug-19,Medical ,Community Health Centre,18.543635,84.015715,532400,"Budithi, Saravakota, Srikakulam District, Andhra Pradesh, 532400, India"
13,Andhra Pradesh,East Godavari,Allavaram,Chavalivaripeta,211592,Bedded Hospital,Allavaram,12-Sep-19,Medical ,Bedded Hospital,16.50961823,81.9883542,533217,"Government Hospital,Allavaram, Amalapuram - Bendamurlanka Road, Allavaram, East Godavari District, Andhra Pradesh, 533217, India"
14,Andhra Pradesh,Chittoor,Tirupati Rural,Cherlopalle,214773,bedded hospatal,cherlopalli,27-Aug-19,Medical ,Bedded Hospital,13.61549361,79.36780209,517502,"Surendra Multi Speciality Hospitals, S.V.University Road, Narasingapuram, Chittoor, Tirupati District, Andhra Pradesh, 517502, India"
15,Andhra Pradesh,Anantapur,Dharmavaram,Chintalapalli,227342,Govt Veterinary Hospital,Chinthalapalli,28-Aug-19,Medical ,Bedded Hospital,14.50346039,77.70311297,533244,"Garadampalle, Dharmavaram, Sri Sathya Sai District, Andhra Pradesh, India"
16,Andhra Pradesh,West Godavari,Chintalapudi,Chintalapudi,227367,Govt Hospital  PHC,Chintalapudi ,03-Sep-19,Medical ,Bedded Hospital,17.07065516,80.9837958,534460,"Lord Shiva temple, Eluru - Medisettivaripalem Road, Recherla, Chintalapudi, Eluru District, Andhra Pradesh, 534460, India"
17,Andhra Pradesh,Visakhapatnam,Chintapalle,Chintapalli,227499,Community Health Center,Chintapalli,22-Aug-19,Medical ,Community Health Centre,17.8703858,82.35087991,531300,"Cherugampakalu, Bourutu, Chintapalle, Andhra Pradesh, 531300, India"
18,Andhra Pradesh,Visakhapatnam,Chintapalle,Chintapalli,227499,Community  Health center ,Chinthapalli ,30-Aug-19,Medical ,Community Health Centre,17.87034,82.35099333,531300,"Cherugampakalu, Bourutu, Chintapalle, Andhra Pradesh, 531300, India"
19,Andhra Pradesh,Srikakulam,Ponduru,Ponduru,860882,bedded hospital,ponduru,14-Aug-19,Medical ,Bedded Hospital,18.35158123,83.7598503,532168,"Ponduru, Srikakulam District, Andhra Pradesh, 532168, India"
20,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Dakamarri,242307,Rotary Abhaya community Health center,Modavalasa,01-Aug-19,Medical ,Community Health Centre,17.96711,83.41973833,535005,"NH26, Muddadapeta, Bheemunipatnam, Visakhapatnam District, Andhra Pradesh, 535005, India"
21,Andhra Pradesh,Prakasam,Ballikuruva,Chinaambadipudi,224196,ayurveda hospital ,chinaambadipudi,07-Sep-19,Medical ,Community Health Centre,15.97383707,80.01012838,533106,"Addanki - Santhamaguluru Road, Guntupalli, Chinna Ambadipudi, Ballikurava, Bapatla District, Andhra Pradesh, India"
22,Andhra Pradesh,West Godavari,Bheemavaram,Chinamiram,224398,hospital,juvalapalem road,06-Sep-19,Medical ,Bedded Hospital,16.54125889,81.49694395,534204,"Bhimavaram Hospitals, Bhimavaram - Gudivada Road, Pedda Amiram, Bhimavaram, West Godavari District, Andhra Pradesh, 534204, India"
23,Andhra Pradesh,Guntur,Prathipadu,Prathipadu,865969,Community Hospital,Prathipadu,06-Aug-19,Medical ,Community Health Centre,16.18048833,80.33254667,522019,"Community Health Centre, Guntur - Parchuru Road, Prathipadu, Guntur District, Andhra Pradesh, 522019, India"
24,Andhra Pradesh,West Godavari,Penumantra,Garuvu,349737,community health centre,garuvu,25-Aug-19,Medical ,Community Health Centre,16.65294856,81.64152004,534124,"Narsapuram - Aswaraopeta Road, Pamanivallapalem, Penumantra, West Godavari District, Andhra Pradesh, 534124, India"
25,Andhra Pradesh,West Godavari,Penugonda,Cherukuwada,214957,communityhealthcentre,cherukawada,20-Aug-19,Medical ,Community Health Centre,16.66107836,81.75037082,534320,"Malapalle, Cherukuvada, Penugonda, West Godavari District, Andhra Pradesh, 534320, India"
26,Andhra Pradesh,Guntur,Nuzendla,Chintalacheruvu,227282,bedde hospital ,chintalacheruvu ,24-Aug-19,Medical ,Bedded Hospital,15.95855181,79.61531093,522659,"Chintalacheruvu, Nuzendla, Palnadu District, Andhra Pradesh, 522659, India"
27,Andhra Pradesh,Krishna,Gannavaram,China Outapalli,224163,bedded hospital,chinna avutapalli,27-Aug-19,Medical ,Bedded Hospital,16.554501,80.83112113,521286,"Dr. Pinnamaneni Siddhartha Institute Of Medical Sciences Hospital, NH16, Kesarapalle, Chinna Avutapalli, Gannavaram, Krishna District, Andhra Pradesh, 521286, India"
28,Andhra Pradesh,Krishna,Vatsavai,Gopinenipalem,373494,Community health center,Gopinenipalem,05-Sep-19,Medical ,Community Health Centre,16.93279103,80.17195996,521193,"Gopinenipalem, Vatsavai, NTR District, Andhra Pradesh, 521193, India"
29,Andhra Pradesh,Chittoor,Gudipala,GOPALA PURAM,371525,CMC BEDDED HOSPITAL,gopalapuram,14-Aug-19,Medical ,Bedded Hospital,13.13329497,79.11357354,517132,"Christian Medical College Hospital, Chennai To Kurnool Road, Gopalapuram, Gudipala, Chittoor District, Andhra Pradesh, 517132, India"
30,Andhra Pradesh,Anantapur,Tadpatri,Chukkalur,235499,Bedded Hospital,Chukkalur,22-Aug-19,Medical ,Bedded Hospital,14.94697541,77.98252328,515415,"PHC,Chukkalur, Post Office,Chukkalur, Tadpatri, Anantapur District, Andhra Pradesh, 515415, India"
