Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
1,Andhra Pradesh,Krishna,Chatrai,Chatrai,209083,bedded hospital,chatrai,03-Sep-19,Medical ,Bedded Hospital,16.99992649,80.86482122
2,Andhra Pradesh,Y S R Kadapa,Chennur,Chennur,214338,Community Health Centre,"Dr no 14/365,KOR  colony, chennur",04-Sep-19,Medical ,Community Health Centre,14.55763912,78.79598499
3,Andhra Pradesh,Guntur,Bellamkonda,Chandrajupalem,203720,beded hospital ,chandrajupalem,13-Aug-19,Medical ,Bedded Hospital,16.52947574,80.00726098
4,Andhra Pradesh,Chittoor,Gudipala,CHAVATANTHANGAL H W,211799,bedded hospital,chittoor district,04-Sep-19,Medical ,Bedded Hospital,13.13154818,79.11406796
5,Andhra Pradesh,Visakhapatnam,Anandapuram,Chandaka,200826,hospital bedded,main Road side ,04-Aug-19,Medical ,Bedded Hospital,17.92266521,83.36154449
6,Andhra Pradesh,East Godavari,Pedapudi,G Mamidada,332182,hospital,near ramalayam,04-Sep-19,Medical ,Bedded Hospital,16.93406057,82.07106745
7,Andhra Pradesh,Prakasam,Chadrasekarapuram,Chandrasekharapuram,204038,bedded hospital,chandrasekharapuram bedded hospital,28-Aug-19,Medical ,Bedded Hospital,15.18076333,79.27511
8,Andhra Pradesh,Y S R Kadapa,Chapadu,Chapadu,205706,phcbededhospital,chapadugpchapadumandal,04-Sep-19,Medical ,Bedded Hospital,14.72549561,78.65955548
9,Andhra Pradesh,Srikakulam,Sompeta,Chikatisompeta,221548,community health center,opposite R & B road,12-Sep-19,Medical ,Community Health Centre,18.9479288,84.58372138
10,Andhra Pradesh,Prakasam,Chimakurthi,Chimakurthy,223780,community health centre,chimakurthy,08-Sep-19,Medical ,Community Health Centre,15.58463717,79.87473128
11,Andhra Pradesh,Prakasam,Cumbum,Cumbum,237574,community health centre,cumbum,04-Sep-19,Medical ,Community Health Centre,15.58468885,79.11593593
12,Andhra Pradesh,Srikakulam,Saravakota,Cheedipudi,212547,Government Homeo Hospital,Cheedipudi,10-Aug-19,Medical ,Community Health Centre,18.543635,84.015715
13,Andhra Pradesh,East Godavari,Allavaram,Chavalivaripeta,211592,Bedded Hospital,Allavaram,12-Sep-19,Medical ,Bedded Hospital,16.50961823,81.9883542
14,Andhra Pradesh,Chittoor,Tirupati Rural,Cherlopalle,214773,bedded hospatal,cherlopalli,27-Aug-19,Medical ,Bedded Hospital,13.61549361,79.36780209
15,Andhra Pradesh,Anantapur,Dharmavaram,Chintalapalli,227342,Govt Veterinary Hospital,Chinthalapalli,28-Aug-19,Medical ,Bedded Hospital,14.50346039,77.70311297
16,Andhra Pradesh,West Godavari,Chintalapudi,Chintalapudi,227367,Govt Hospital  PHC,Chintalapudi ,03-Sep-19,Medical ,Bedded Hospital,17.07065516,80.9837958
17,Andhra Pradesh,Visakhapatnam,Chintapalle,Chintapalli,227499,Community Health Center,Chintapalli,22-Aug-19,Medical ,Community Health Centre,17.8703858,82.35087991
18,Andhra Pradesh,Visakhapatnam,Chintapalle,Chintapalli,227499,Community  Health center ,Chinthapalli ,30-Aug-19,Medical ,Community Health Centre,17.87034,82.35099333
19,Andhra Pradesh,Srikakulam,Ponduru,Ponduru,860882,bedded hospital,ponduru,14-Aug-19,Medical ,Bedded Hospital,18.35158123,83.7598503
20,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Dakamarri,242307,Rotary Abhaya community Health center,Modavalasa,01-Aug-19,Medical ,Community Health Centre,17.96711,83.41973833
21,Andhra Pradesh,Prakasam,Ballikuruva,Chinaambadipudi,224196,ayurveda hospital ,chinaambadipudi,07-Sep-19,Medical ,Community Health Centre,15.97383707,80.01012838
22,Andhra Pradesh,West Godavari,Bheemavaram,Chinamiram,224398,hospital,juvalapalem road,06-Sep-19,Medical ,Bedded Hospital,16.54125889,81.49694395
23,Andhra Pradesh,Guntur,Prathipadu,Prathipadu,865969,Community Hospital,Prathipadu,06-Aug-19,Medical ,Community Health Centre,16.18048833,80.33254667
24,Andhra Pradesh,West Godavari,Penumantra,Garuvu,349737,community health centre,garuvu,25-Aug-19,Medical ,Community Health Centre,16.65294856,81.64152004
25,Andhra Pradesh,West Godavari,Penugonda,Cherukuwada,214957,communityhealthcentre,cherukawada,20-Aug-19,Medical ,Community Health Centre,16.66107836,81.75037082
26,Andhra Pradesh,Guntur,Nuzendla,Chintalacheruvu,227282,bedde hospital ,chintalacheruvu ,24-Aug-19,Medical ,Bedded Hospital,15.95855181,79.61531093
27,Andhra Pradesh,Krishna,Gannavaram,China Outapalli,224163,bedded hospital,chinna avutapalli,27-Aug-19,Medical ,Bedded Hospital,16.554501,80.83112113
28,Andhra Pradesh,Krishna,Vatsavai,Gopinenipalem,373494,Community health center,Gopinenipalem,05-Sep-19,Medical ,Community Health Centre,16.93279103,80.17195996
29,Andhra Pradesh,Chittoor,Gudipala,GOPALA PURAM,371525,CMC BEDDED HOSPITAL,gopalapuram,14-Aug-19,Medical ,Bedded Hospital,13.13329497,79.11357354
30,Andhra Pradesh,Anantapur,Tadpatri,Chukkalur,235499,Bedded Hospital,Chukkalur,22-Aug-19,Medical ,Bedded Hospital,14.94697541,77.98252328
31,Andhra Pradesh,Prakasam,Parchur,Adusumalli,14065,Health Centre,Adusmalli,24-Sep-19,Medical ,Community Health Centre,16.022085,80.31224833
32,Andhra Pradesh,Anantapur,Bukkapatnam,Agraharam,15612,Community Health Center,Agraharam,15-Aug-19,Medical ,Community Health Centre,14.27215985,77.97037498
33,Andhra Pradesh,Guntur,Gurazala,Daida,241922,Helth centar,Daida road,05-Sep-19,Medical ,Community Health Centre,16.63751667,79.60312833
34,Andhra Pradesh,West Godavari,AKIVIDU,Ajjamurugaruvu,20242,star of hope hospital ,mainroad,08-Sep-19,Medical ,Community Health Centre,16.58226107,81.39273473
35,Andhra Pradesh,Anantapur,Gooty,Gooty RS,371174,Govt Hospital,Gooty RS,06-Oct-19,Medical ,Community Health Centre,15.12319833,77.63407833
36,Andhra Pradesh,Anantapur,Narpala,Gugudu,381439,Hospital,Gugudu,20-Aug-19,Medical ,Bedded Hospital,14.67211738,77.86017522
37,Andhra Pradesh,Guntur,Cherukupalle,Gullapalli,383468,Bedded hospital,Gullapalli,10-Aug-19,Medical ,Bedded Hospital,16.05104871,80.68268365
38,Andhra Pradesh,Y S R Kadapa,Lakkireddipalle,Devalampalli,262953,BeddedHospal,Devalampalli,05-Sep-19,Medical ,Bedded Hospital,14.13527264,78.662398
39,Andhra Pradesh,Srikakulam,Seethampeta,Devanapuram,263204,Health sub center building,Devanapuram,05-Sep-19,Medical ,Community Health Centre,18.70490533,83.81237824
40,Andhra Pradesh,Prakasam,Karamchedu,Daggubadu,240838,Community Health Centre,Daggubadu,13-Sep-19,Medical ,Community Health Centre,15.87167101,80.20894376
41,Andhra Pradesh,Nellore,Venkatachalam,Gudlurivaripalem,381086,hospetal,gvr palem,05-Sep-19,Medical ,Community Health Centre,14.23628148,80.03196888
42,Andhra Pradesh,Guntur,Karempudi,Chintapalli,227505,Community Centre ,Temple road,05-Aug-19,Medical ,Community Health Centre,16.45438623,79.74641459
